episode_rewards,success_rates,actor_losses,critic_losses,q1_values,q2_values,
-50,,0,0.136426538,-1.199849248,-1.195655704,
-50,,1.318521142,0.123772584,-1.214795232,-1.210129261,
-50,,0,0.108553849,-1.235538244,-1.237788916,
-50,,1.344748497,0.142934203,-1.222292662,-1.221083403,
-50,,0,0.116126522,-1.263233662,-1.259765625,
-50,,1.331380367,0.134508312,-1.245349407,-1.242743969,2
-50,,0,0.103492208,-1.238560319,-1.241128683,
-50,,1.300209999,0.157792002,-1.208976746,-1.209584713,
-50,,0,0.128436506,-1.213483453,-1.210618496,
-50,,1.31878686,0.128849611,-1.227171302,-1.225653291,
-50,,0,0.106005646,-1.24484849,-1.242705584,
-50,,1.333942413,0.122941434,-1.218862772,-1.220129132,
-50,,0,0.114935055,-1.254911423,-1.255595922,
-50,,1.332799077,0.11562486,-1.259365797,-1.25740242,
-50,,0,0.11722371,-1.244322062,-1.24530077,
-50,,1.324452162,0.130021229,-1.229921579,-1.232993364,
-50,,0,0.088539176,-1.246431112,-1.243427753,
0,,1.35705781,0.098168589,-1.249649644,-1.246875525,
-50,,0,0.127016157,-1.278466225,-1.271529198,
-50,,1.333752394,0.099324897,-1.263721228,-1.264716864,
-50,,0,0.120660007,-1.220244884,-1.222682834,
-50,,1.325970888,0.122157931,-1.211860418,-1.209518075,
-50,,0,0.115717471,-1.24936974,-1.245976448,
-50,,1.382347226,0.121716708,-1.255026102,-1.2469666,
-50,,0,0.131044447,-1.273023725,-1.272099257,
-50,,1.379174829,0.080735281,-1.293521643,-1.30036521,
-50,,0,0.115669429,-1.261229396,-1.266155958,
-50,,1.333005428,0.129277885,-1.247529745,-1.250853062,
-50,,0,0.131261021,-1.256774902,-1.251717567,
-50,,1.348746061,0.105426274,-1.24241066,-1.236933589,
-50,,0,0.123327956,-1.238752604,-1.229824543,
-50,,1.365952253,0.132138133,-1.269278765,-1.267504096,
-50,,0,0.082019269,-1.275166035,-1.279438615,
-50,,1.344358325,0.110146455,-1.263969302,-1.269425988,
-50,,0,0.11514049,-1.258833408,-1.262452006,
-50,,1.351584554,0.105276935,-1.261437297,-1.257547975,
-50,,0,0.138261169,-1.259501457,-1.254401922,
-50,,1.325076818,0.090121463,-1.266214132,-1.261645794,
-50,,0,0.086224407,-1.27808547,-1.282115698,
-50,,1.333242655,0.094585091,-1.269963264,-1.277760983,
-50,,0,0.090248346,-1.285935163,-1.288133025,
-2,,1.352438807,0.082531668,-1.286768913,-1.281190872,
-50,,0,0.109484665,-1.295955658,-1.288387895,
-50,,1.288895965,0.104415394,-1.282852173,-1.279420853,
-50,,0,0.092082217,-1.260541677,-1.267963886,
-50,,1.301921964,0.104159489,-1.261111498,-1.259760857,
-50,,0,0.092289306,-1.262256145,-1.264248371,
-50,,1.356403828,0.086051151,-1.305501699,-1.304536581,
